STORE,UPC,WEEK,MOVE,PRICE,QTY,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
103,3828111129,1,150,0.99,1,B,18.89,1,3FEFAE147AE147AE,4032E3D70A3D70A4,22619.0,0.802989
103,3828111129,2,154,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,23019.0,0.803979
103,3828111129,3,170,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,22925.0,0.803979
103,3828111129,4,128,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,22920.0,0.803979
103,3828111129,5,193,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,23583.0,0.803979
103,3828111129,6,179,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,22820.0,0.803979
103,3828111129,7,149,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,24202.0,0.803979
103,3828111129,8,211,0.99,1,B,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,22315.0,0.803979
103,3828111129,9,169,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,22168.0,0.803979
103,3828111129,10,236,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,25705.0,0.803979
103,3828111129,11,176,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,18465.0,0.803979
103,3828111129,12,205,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,21641.0,0.803979
103,3828111129,13,195,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,21677.0,0.803979
103,3828111129,14,152,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,24222.0,0.803979
103,3828111129,15,128,1.05,1,,23.43,1,3FF0CCCCCCCCCCCD,40376E147AE147AE,22067.0,0.8039850000000001
103,3828111129,16,182,1.05,1,,23.43,1,3FF0CCCCCCCCCCCD,40376E147AE147AE,22767.0,0.8039850000000001
103,3828111129,17,171,1.05,1,,23.52,1,3FF0CCCCCCCCCCCD,4037851EB851EB85,20955.0,0.8030400000000001
103,3828111129,18,145,1.05,1,,23.43,1,3FF0CCCCCCCCCCCD,40376E147AE147AE,20800.0,0.8039850000000001
103,3828111129,19,91,1.05,1,,23.43,1,3FF0CCCCCCCCCCCD,40376E147AE147AE,21942.0,0.8039850000000001
103,3828111129,20,118,1.05,1,,23.43,1,3FF0CCCCCCCCCCCD,40376E147AE147AE,22694.0,0.8039850000000001
103,3828111129,21,108,1.05,1,,23.43,1,3FF0CCCCCCCCCCCD,40376E147AE147AE,22252.0,0.8039850000000001
103,3828111129,22,46,1.09,1,,26.24,1,3FF170A3D70A3D71,403A3D70A3D70A3D,23534.0,0.8039840000000001
103,3828111129,23,18,1.09,1,,26.24,1,3FF170A3D70A3D71,403A3D70A3D70A3D,22642.0,0.8039840000000001
103,3828111129,24,115,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,21151.0,0.803979
103,3828111129,25,162,0.99,1,,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,21987.0,0.803979
103,3828111129,26,10,0.99,1,B,18.79,1,3FEFAE147AE147AE,4032CA3D70A3D70A,22201.0,0.803979
103,3828111129,27,97,1.09,1,,26.24,1,3FF170A3D70A3D71,403A3D70A3D70A3D,22391.0,0.8039840000000001
103,3828111129,28,53,1.09,1,,26.24,1,3FF170A3D70A3D71,403A3D70A3D70A3D,22293.0,0.8039840000000001
103,3828111129,29,10,1.09,1,,26.24,0,3FF170A3D70A3D71,403A3D70A3D70A3D,22495.0,0.8039840000000001
103,3828111129,30,18,1.09,1,,26.24,0,3FF170A3D70A3D71,403A3D70A3D70A3D,23961.0,0.8039840000000001
103,3828111129,31,103,1.09,1,,26.24,1,3FF170A3D70A3D71,403A3D70A3D70A3D,24047.0,0.8039840000000001
103,3828111129,32,112,1.09,1,,26.24,1,3FF170A3D70A3D71,403A3D70A3D70A3D,22360.0,0.8039840000000001
