STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
100,8066095605,91,14,1,5.79,,14.94,1,401728F5C28F5C29,402DE147AE147AE1,28349.0,4.924974
100,8066095605,92,22,1,5.79,,14.94,1,401728F5C28F5C29,402DE147AE147AE1,28523.0,4.924974
100,8066095605,93,38,1,4.39,,12.19,1,40118F5C28F5C28F,40286147AE147AE1,28742.0,3.854859
100,8066095605,94,37,1,4.39,,12.18,1,40118F5C28F5C28F,40285C28F5C28F5C,31941.0,3.855298
100,8066095605,95,20,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,27720.0,4.925553
100,8066095605,96,27,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,29197.0,4.925553
100,8066095605,97,13,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,28537.0,4.925553
100,8066095605,98,29,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,30135.0,4.925553
100,8066095605,99,11,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,32715.0,4.925553
100,8066095605,100,20,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,27787.0,4.925553
100,8066095605,101,12,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,28328.0,4.925553
100,8066095605,102,14,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,30449.0,4.925553
100,8066095605,103,13,1,5.54,,11.1,1,401628F5C28F5C29,4026333333333333,29504.0,4.92506
100,8066095605,104,21,1,4.99,,1.3,1,4013F5C28F5C28F6,3FF4CCCCCCCCCCCD,27582.0,4.92513
100,8066095605,105,18,1,4.99,,1.3,1,4013F5C28F5C28F6,3FF4CCCCCCCCCCCD,31303.0,4.92513
100,8066095605,106,12,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,27968.0,4.925553
100,8066095605,107,9,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,25762.0,4.925553
100,8066095605,108,3,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,27742.0,4.925553
100,8066095605,109,13,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,26917.0,4.925553
100,8066095605,110,12,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,35029.0,4.925553
100,8066095605,111,9,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,30026.0,4.925553
100,8066095605,112,5,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,26837.0,4.925553
100,8066095605,113,7,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,28496.0,4.925553
100,8066095605,114,12,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,26631.0,4.925553
100,8066095605,115,6,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,38200.0,4.925553
100,8066095605,116,11,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,23663.0,4.925553
100,8066095605,117,10,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,28151.0,4.925553
100,8066095605,118,5,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,26929.0,4.925553
100,8066095605,119,14,1,4.99,B,1.3,1,4013F5C28F5C28F6,3FF4CCCCCCCCCCCD,30522.0,4.92513
100,8066095605,120,10,1,4.99,B,1.3,1,4013F5C28F5C28F6,3FF4CCCCCCCCCCCD,26551.0,4.92513
100,8066095605,121,9,1,5.79,,14.93,1,401728F5C28F5C29,402DDC28F5C28F5C,28366.0,4.925553
100,8066095605,122,12,1,4.99,B,1.3,1,4013F5C28F5C28F6,3FF4CCCCCCCCCCCD,25294.0,4.92513
100,8066095605,123,9,1,4.99,B,1.3,1,4013F5C28F5C28F6,3FF4CCCCCCCCCCCD,27123.0,4.92513
100,8066095605,124,5,1,5.83,,15.52,1,401751EB851EB852,402F0A3D70A3D70A,31610.0,4.925184
100,8066095605,125,13,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,26337.0,4.9255770000000005
100,8066095605,126,9,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,26189.0,4.9255770000000005
100,8066095605,127,7,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,27323.0,4.9255770000000005
100,8066095605,128,12,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,23791.0,4.9255770000000005
100,8066095605,129,12,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,23092.0,4.9255770000000005
100,8066095605,130,5,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,27488.0,4.9255770000000005
100,8066095605,131,9,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,24413.0,4.9255770000000005
100,8066095605,132,9,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,25432.0,4.9255770000000005
100,8066095605,133,12,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,25472.0,4.9255770000000005
100,8066095605,134,15,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,23949.0,4.9255770000000005
100,8066095605,135,25,1,4.69,B,5.01,1,4012C28F5C28F5C3,40140A3D70A3D70A,28179.0,4.455031
100,8066095605,136,36,1,4.69,B,5.01,1,4012C28F5C28F5C3,40140A3D70A3D70A,27371.0,4.455031
100,8066095605,137,8,1,5.99,,17.77,1,4017F5C28F5C28F6,4031C51EB851EB85,23429.0,4.9255770000000005
