STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
102.0,4400000329,1.0,76.0,1.0,1.3,B,3.85,1.0,3FF4CCCCCCCCCCCD,400ECCCCCCCCCCCD,27909.0,1.24995
102.0,4400000329,2.0,62.0,1.0,1.3,B,3.85,1.0,3FF4CCCCCCCCCCCD,400ECCCCCCCCCCCD,31464.0,1.24995
102.0,4400000329,3.0,73.0,1.0,1.3,,3.85,1.0,3FF4CCCCCCCCCCCD,400ECCCCCCCCCCCD,28221.0,1.24995
102.0,4400000329,4.0,113.0,1.0,1.39,,10.07,1.0,3FF63D70A3D70A3D,402423D70A3D70A4,29890.0,1.250027
102.0,4400000329,5.0,102.0,1.0,1.49,,16.11,1.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,29966.0,1.249961
102.0,4400000329,6.0,5.0,1.0,1.49,,16.11,0.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,27886.0,1.249961
102.0,4400000329,7.0,45.0,1.0,1.49,,16.11,1.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,26274.0,1.249961
102.0,4400000329,8.0,61.0,1.0,1.49,,16.11,1.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,29305.0,1.249961
102.0,4400000329,9.0,45.0,1.0,1.49,,16.11,1.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,27765.0,1.249961
102.0,4400000329,10.0,62.0,1.0,1.49,,16.11,1.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,37275.0,1.249961
102.0,4400000329,11.0,116.0,1.0,1.39,B,10.07,1.0,3FF63D70A3D70A3D,402423D70A3D70A4,25594.0,1.250027
102.0,4400000329,12.0,58.0,1.0,1.49,B,16.11,1.0,3FF7D70A3D70A3D7,40301C28F5C28F5C,28325.0,1.249961
