STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
101,2500002582,1,18,1,0.95,,36.21,1,3FEE666666666666,40421AE147AE147B,25308.0,0.6060049999999999
101,2500002582,2,16,1,0.95,,36.21,1,3FEE666666666666,40421AE147AE147B,26423.0,0.6060049999999999
101,2500002582,3,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25568.0,0.0
101,2500002582,4,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25735.0,0.0
101,2500002582,5,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25870.0,0.0
101,2500002582,6,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25372.0,0.0
101,2500002582,7,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,26928.0,0.0
101,2500002582,8,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,26474.0,0.0
101,2500002582,9,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24674.0,0.0
101,2500002582,10,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,29768.0,0.0
101,2500002582,11,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,23287.0,0.0
101,2500002582,12,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25090.0,0.0
101,2500002582,13,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25479.0,0.0
101,2500002582,14,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,28621.0,0.0
101,2500002582,15,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,26063.0,0.0
101,2500002582,16,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25612.0,0.0
101,2500002582,17,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,23235.0,0.0
101,2500002582,18,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,23741.0,0.0
101,2500002582,19,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24716.0,0.0
101,2500002582,20,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25625.0,0.0
101,2500002582,21,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,23748.0,0.0
101,2500002582,22,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,26050.0,0.0
101,2500002582,23,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24968.0,0.0
101,2500002582,24,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,22461.0,0.0
101,2500002582,25,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24728.0,0.0
101,2500002582,26,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25281.0,0.0
101,2500002582,27,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25775.0,0.0
101,2500002582,28,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24952.0,0.0
101,2500002582,29,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24645.0,0.0
101,2500002582,30,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,27632.0,0.0
101,2500002582,31,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,27420.0,0.0
101,2500002582,32,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25162.0,0.0
101,2500002582,33,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25673.0,0.0
101,2500002582,34,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25630.0,0.0
101,2500002582,35,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,28260.0,0.0
101,2500002582,36,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25845.0,0.0
101,2500002582,37,93,1,0.89,,17.53,1,3FEC7AE147AE147B,403187AE147AE148,27224.0,0.733983
101,2500002582,38,37,1,0.89,,23.26,1,3FEC7AE147AE147B,4037428F5C28F5C3,27363.0,0.682986
101,2500002582,39,110,1,1.09,,37.34,1,3FF170A3D70A3D71,4042AB851EB851EC,27795.0,0.6829940000000001
101,2500002582,40,191,1,1.09,,35.5,1,3FF170A3D70A3D71,4041C00000000000,27582.0,0.7030500000000001
101,2500002582,41,266,1,0.99,,27.27,1,3FEFAE147AE147AE,403B451EB851EB85,26714.0,0.7200270000000001
101,2500002582,42,121,1,0.99,,27.27,1,3FEFAE147AE147AE,403B451EB851EB85,30921.0,0.7200270000000001
101,2500002582,43,88,1,0.99,,30.0,1,3FEFAE147AE147AE,403E000000000000,27004.0,0.693
101,2500002582,44,47,1,0.89,B,24.04,1,3FEC7AE147AE147B,40380A3D70A3D70A,26611.0,0.6760440000000001
101,2500002582,45,32,1,0.89,B,26.63,1,3FEC7AE147AE147B,403AA147AE147AE1,27082.0,0.652993
101,2500002582,46,21,1,0.89,,26.63,1,3FEC7AE147AE147B,403AA147AE147AE1,27283.0,0.652993
101,2500002582,47,35,1,1.09,,41.1,1,3FF170A3D70A3D71,40448CCCCCCCCCCD,26331.0,0.64201
101,2500002582,48,24,1,1.09,,44.13,1,3FF170A3D70A3D71,404610A3D70A3D71,26233.0,0.608983
101,2500002582,49,147,1,0.89,,37.19,1,3FEC7AE147AE147B,40429851EB851EB8,26606.0,0.5590090000000001
