STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
101,1690000012,1,26,1,0.99,B,19.19,1,3FEFAE147AE147AE,403330A3D70A3D71,25308.0,0.800019
101,1690000012,2,23,1,0.99,B,19.19,1,3FEFAE147AE147AE,403330A3D70A3D71,26423.0,0.800019
101,1690000012,3,12,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25568.0,1.345071
101,1690000012,4,1,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25735.0,1.345071
101,1690000012,5,164,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25870.0,0.435032
101,1690000012,6,4,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25372.0,1.345071
101,1690000012,7,90,1,0.99,,35.86,1,3FEFAE147AE147AE,4041EE147AE147AE,26928.0,0.6349859999999999
101,1690000012,8,96,1,0.89,,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,26474.0,0.435032
101,1690000012,9,6,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,24674.0,1.345071
101,1690000012,10,51,1,0.89,,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,29768.0,0.435032
101,1690000012,11,6,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,23287.0,1.345071
101,1690000012,12,60,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25090.0,0.435032
101,1690000012,13,7,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25479.0,1.345071
101,1690000012,14,58,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,28621.0,1.345071
101,1690000012,15,53,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,26063.0,0.435032
101,1690000012,16,35,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25612.0,0.435032
101,1690000012,17,5,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,23235.0,1.345071
101,1690000012,18,66,1,1.19,B,13.03,1,3FF30A3D70A3D70A,402A0F5C28F5C28F,23741.0,1.034943
101,1690000012,19,11,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,24716.0,1.345071
101,1690000012,20,88,1,0.89,,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25625.0,0.435032
101,1690000012,21,5,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,23748.0,1.345071
101,1690000012,22,326,1,0.69,S,94.93,1,3FE6147AE147AE14,4057BB851EB851EC,26050.0,0.0349829999999999
101,1690000012,23,10,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,24968.0,1.345071
101,1690000012,24,160,1,0.79,B,70.25,1,3FE947AE147AE148,4051900000000000,22461.0,0.235025
101,1690000012,25,16,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,24728.0,1.345071
101,1690000012,26,158,1,0.89,,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25281.0,0.435032
101,1690000012,27,27,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25775.0,1.345071
101,1690000012,28,153,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,24952.0,0.435032
101,1690000012,29,6,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,24645.0,1.345071
101,1690000012,30,4,1,0.89,B,51.12,0,3FEC7AE147AE147B,40498F5C28F5C28F,27632.0,0.435032
101,1690000012,31,111,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,27420.0,0.435032
101,1690000012,32,6,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25162.0,1.345071
101,1690000012,33,17,1,0.89,B,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25673.0,0.435032
101,1690000012,34,5,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,25630.0,1.345071
101,1690000012,35,5,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,28260.0,1.345071
101,1690000012,36,56,1,0.89,S,51.12,1,3FEC7AE147AE147B,40498F5C28F5C28F,25845.0,0.435032
101,1690000012,37,3,1,1.69,,20.41,1,3FFB0A3D70A3D70A,403468F5C28F5C29,27224.0,1.345071
