STORE,UPC,WEEK,MOVE,PRICE,QTY,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
100,3040000048,1,54,1.29,1,,20.0,1,3FF4A3D70A3D70A4,4034000000000000,27163.0,1.032
100,3040000048,2,62,1.29,1,,20.0,1,3FF4A3D70A3D70A4,4034000000000000,33241.0,1.032
100,3040000048,3,56,1.29,1,,38.91,1,3FF4A3D70A3D70A4,4043747AE147AE14,26796.0,0.788061
100,3040000048,4,36,1.29,1,,40.54,1,3FF4A3D70A3D70A4,4044451EB851EB85,31128.0,0.767034
100,3040000048,5,25,1.29,1,,40.54,1,3FF4A3D70A3D70A4,4044451EB851EB85,29215.0,0.767034
100,3040000048,6,14,1.39,1,,44.82,1,3FF63D70A3D70A3D,404668F5C28F5C29,26858.0,0.7670020000000001
100,3040000048,7,13,1.29,1,,29.61,1,3FF4A3D70A3D70A4,403D9C28F5C28F5C,28689.0,0.908031
100,3040000048,8,28,1.29,1,,29.61,1,3FF4A3D70A3D70A4,403D9C28F5C28F5C,27528.0,0.908031
100,3040000048,9,46,1.29,1,,28.68,1,3FF4A3D70A3D70A4,403CAE147AE147AE,25885.0,0.920028
100,3040000048,10,115,1.29,1,,28.06,1,3FF4A3D70A3D70A4,403C0F5C28F5C28F,36766.0,0.928026
100,3040000048,11,22,1.29,1,,34.57,1,3FF4A3D70A3D70A4,404148F5C28F5C29,24103.0,0.844047
100,3040000048,12,146,1.29,1,,16.67,1,3FF4A3D70A3D70A4,4030AB851EB851EC,27577.0,1.074957
100,3040000048,13,94,1.29,1,,16.67,1,3FF4A3D70A3D70A4,4030AB851EB851EC,28096.0,1.074957
100,3040000048,14,126,1.29,1,,22.71,1,3FF4A3D70A3D70A4,4036B5C28F5C28F6,36314.0,0.997041
100,3040000048,15,708,1.09,1,,11.19,1,3FF170A3D70A3D71,40266147AE147AE1,30102.0,0.968029
100,3040000048,16,0,0.0,1,,0.0,0,0000000000000000,0000000000000000,27204.0,0.0
100,3040000048,17,12,1.29,1,,24.03,0,3FF4A3D70A3D70A4,403807AE147AE148,24872.0,0.980013
100,3040000048,18,0,0.0,1,,0.0,0,0000000000000000,0000000000000000,26697.0,0.0
100,3040000048,19,0,0.0,1,,0.0,0,0000000000000000,0000000000000000,25860.0,0.0
100,3040000048,20,636,1.09,1,B,9.36,0,3FF170A3D70A3D71,4022B851EB851EB8,29310.0,0.987976
100,3040000048,21,110,1.29,1,,23.72,1,3FF4A3D70A3D70A4,4037B851EB851EB8,29865.0,0.984012
100,3040000048,22,24,1.29,1,,23.72,1,3FF4A3D70A3D70A4,4037B851EB851EB8,29262.0,0.984012
100,3040000048,23,23,1.29,1,,18.22,1,3FF4A3D70A3D70A4,40323851EB851EB8,30365.0,1.054962
100,3040000048,24,540,1.19,1,,17.9,1,3FF30A3D70A3D70A,4031E66666666666,25317.0,0.97699
100,3040000048,25,61,1.29,1,,24.26,1,3FF4A3D70A3D70A4,4038428F5C28F5C3,27864.0,0.977046
