STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
100,2400032230,1,85,1,0.68,B,36.03,1,3FE5C28F5C28F5C3,404203D70A3D70A4,27163.0,0.434996
100,2400032230,2,79,1,0.68,B,35.0,1,3FE5C28F5C28F5C3,4041800000000000,33241.0,0.442
100,2400032230,3,62,1,0.68,,31.47,1,3FE5C28F5C28F5C3,403F7851EB851EB8,26796.0,0.466004
100,2400032230,4,102,1,0.68,B,31.03,1,3FE5C28F5C28F5C3,403F07AE147AE148,31128.0,0.468996
100,2400032230,5,93,1,0.68,B,31.03,1,3FE5C28F5C28F5C3,403F07AE147AE148,29215.0,0.468996
100,2400032230,6,173,1,0.69,,36.38,1,3FE6147AE147AE14,404230A3D70A3D71,26858.0,0.438978
100,2400032230,7,302,1,0.69,,28.84,1,3FE6147AE147AE14,403CD70A3D70A3D7,28689.0,0.491004
100,2400032230,8,331,2,1.19,,10.85,1,3FF30A3D70A3D70A,4025B33333333333,27528.0,0.5304424999999999
100,2400032230,9,328,2,1.19,B,22.03,1,3FF30A3D70A3D70A,403607AE147AE148,25885.0,0.4639214999999999
100,2400032230,10,923,2,1.19,,21.53,1,3FF30A3D70A3D70A,403587AE147AE148,36766.0,0.4668964999999999
100,2400032230,11,76,2,1.19,,21.36,1,3FF30A3D70A3D70A,40355C28F5C28F5C,24103.0,0.467908
100,2400032230,12,79,1,0.69,,33.33,1,3FE6147AE147AE14,4040AA3D70A3D70A,27577.0,0.460023
100,2400032230,13,160,1,0.59,S,21.69,1,3FE2E147AE147AE1,4035B0A3D70A3D71,28096.0,0.4620289999999999
100,2400032230,14,105,1,0.69,,31.01,1,3FE6147AE147AE14,403F028F5C28F5C3,36314.0,0.4760309999999999
100,2400032230,15,148,1,0.69,,31.01,1,3FE6147AE147AE14,403F028F5C28F5C3,30102.0,0.4760309999999999
100,2400032230,16,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,27204.0,0.0
100,2400032230,17,12,1,0.69,,31.01,0,3FE6147AE147AE14,403F028F5C28F5C3,24872.0,0.4760309999999999
100,2400032230,18,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,26697.0,0.0
100,2400032230,19,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,25860.0,0.0
100,2400032230,20,277,1,0.64,,30.0,0,3FE47AE147AE147B,403E000000000000,29310.0,0.4479999999999999
100,2400032230,21,109,1,0.64,B,30.0,1,3FE47AE147AE147B,403E000000000000,29865.0,0.4479999999999999
100,2400032230,22,103,1,0.64,B,32.19,1,3FE47AE147AE147B,40401851EB851EB8,29262.0,0.433984
100,2400032230,23,57,1,0.64,B,32.19,1,3FE47AE147AE147B,40401851EB851EB8,30365.0,0.433984
100,2400032230,24,80,1,0.69,,37.1,1,3FE6147AE147AE14,40428CCCCCCCCCCD,25317.0,0.4340099999999999
100,2400032230,25,78,1,0.69,,37.1,1,3FE6147AE147AE14,40428CCCCCCCCCCD,27864.0,0.4340099999999999
100,2400032230,26,73,1,0.69,,37.1,1,3FE6147AE147AE14,40428CCCCCCCCCCD,27664.0,0.4340099999999999
100,2400032230,27,50,1,0.69,,37.1,1,3FE6147AE147AE14,40428CCCCCCCCCCD,27866.0,0.4340099999999999
100,2400032230,28,67,1,0.69,,37.1,1,3FE6147AE147AE14,40428CCCCCCCCCCD,27537.0,0.4340099999999999
100,2400032230,29,12,1,0.69,,37.1,0,3FE6147AE147AE14,40428CCCCCCCCCCD,28286.0,0.4340099999999999
100,2400032230,30,92,1,0.69,,37.1,1,3FE6147AE147AE14,40428CCCCCCCCCCD,31640.0,0.4340099999999999
100,2400032230,31,83,1,0.69,,32.61,1,3FE6147AE147AE14,40404E147AE147AE,30608.0,0.4649909999999999
100,2400032230,32,73,1,0.69,,32.61,1,3FE6147AE147AE14,40404E147AE147AE,26464.0,0.4649909999999999
100,2400032230,33,74,1,0.69,,33.04,1,3FE6147AE147AE14,4040851EB851EB85,28324.0,0.4620239999999999
100,2400032230,34,56,1,0.69,,33.04,1,3FE6147AE147AE14,4040851EB851EB85,28234.0,0.4620239999999999
100,2400032230,35,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,32034.0,0.0
100,2400032230,36,88,1,0.74,,32.57,0,3FE7AE147AE147AE,404048F5C28F5C29,29842.0,0.498982
100,2400032230,37,54,1,0.74,,32.57,1,3FE7AE147AE147AE,404048F5C28F5C29,29076.0,0.498982
