STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
100,26523800000,1,205,1,3.09,,41.13,1,4008B851EB851EB8,404490A3D70A3D71,27163.0,1.819083
100,26523800000,2,208,1,3.09,,41.13,1,4008B851EB851EB8,404490A3D70A3D71,33241.0,1.819083
100,26523800000,3,212,1,3.09,,40.52,1,4008B851EB851EB8,4044428F5C28F5C3,26796.0,1.837932
100,26523800000,4,217,1,3.09,,40.52,1,4008B851EB851EB8,4044428F5C28F5C3,31128.0,1.837932
100,26523800000,5,224,1,3.09,,40.52,1,4008B851EB851EB8,4044428F5C28F5C3,29215.0,1.837932
100,26523800000,6,231,1,3.09,,40.52,1,4008B851EB851EB8,4044428F5C28F5C3,26858.0,1.837932
100,26523800000,7,236,1,3.09,,38.64,1,4008B851EB851EB8,404351EB851EB852,28689.0,1.896024
100,26523800000,8,247,1,3.09,,38.64,1,4008B851EB851EB8,404351EB851EB852,27528.0,1.896024
100,26523800000,9,253,1,3.09,,37.9,1,4008B851EB851EB8,4042F33333333333,25885.0,1.91889
100,26523800000,10,262,1,3.09,,37.7,1,4008B851EB851EB8,4042D9999999999A,36766.0,1.92507
100,26523800000,11,271,1,3.09,,37.7,1,4008B851EB851EB8,4042D9999999999A,24103.0,1.92507
100,26523800000,12,280,1,3.09,,37.7,1,4008B851EB851EB8,4042D9999999999A,27577.0,1.92507
100,26523800000,13,288,1,3.09,,37.7,1,4008B851EB851EB8,4042D9999999999A,28096.0,1.92507
100,26523800000,14,295,1,3.09,,37.48,1,4008B851EB851EB8,4042BD70A3D70A3D,36314.0,1.931868
100,26523800000,15,299,1,3.09,,36.86,1,4008B851EB851EB8,40426E147AE147AE,30102.0,1.951026
100,26523800000,16,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,27204.0,0.0
100,26523800000,17,315,1,3.09,,36.18,0,4008B851EB851EB8,4042170A3D70A3D7,24872.0,1.972038
100,26523800000,18,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,26697.0,0.0
100,26523800000,19,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,25860.0,0.0
100,26523800000,20,340,1,3.09,,36.34,0,4008B851EB851EB8,40422B851EB851EC,29310.0,1.967094
100,26523800000,21,348,1,3.09,,36.34,1,4008B851EB851EB8,40422B851EB851EC,29865.0,1.967094
100,26523800000,22,358,1,3.09,,39.0,1,4008B851EB851EB8,4043800000000000,29262.0,1.8849
100,26523800000,23,366,1,3.09,,39.0,1,4008B851EB851EB8,4043800000000000,30365.0,1.8849
100,26523800000,24,372,1,3.09,,39.0,1,4008B851EB851EB8,4043800000000000,25317.0,1.8849
100,26523800000,25,378,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,27864.0,1.849983
100,26523800000,26,379,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,27664.0,1.849983
100,26523800000,27,382,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,27866.0,1.849983
100,26523800000,28,388,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,27537.0,1.849983
100,26523800000,29,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,28286.0,0.0
100,26523800000,30,7,1,3.09,,44.56,1,4008B851EB851EB8,404647AE147AE148,31640.0,1.713096
100,26523800000,31,3,1,3.09,,44.56,1,4008B851EB851EB8,404647AE147AE148,30608.0,1.713096
100,26523800000,32,2,1,3.09,,45.37,1,4008B851EB851EB8,4046AF5C28F5C28F,26464.0,1.688067
100,26523800000,33,1,1,3.09,,45.15,1,4008B851EB851EB8,4046933333333333,28324.0,1.6948649999999998
100,26523800000,34,6,1,3.09,,45.15,1,4008B851EB851EB8,4046933333333333,28234.0,1.6948649999999998
100,26523800000,35,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,32034.0,0.0
100,26523800000,36,7,1,3.09,,45.08,0,4008B851EB851EB8,40468A3D70A3D70A,29842.0,1.697028
100,26523800000,37,11,1,3.09,,42.62,1,4008B851EB851EB8,40454F5C28F5C28F,29076.0,1.7730420000000002
100,26523800000,38,2,1,3.09,,42.23,1,4008B851EB851EB8,40451D70A3D70A3D,28563.0,1.7850930000000005
100,26523800000,39,5,1,3.09,,42.23,1,4008B851EB851EB8,40451D70A3D70A3D,28464.0,1.7850930000000005
100,26523800000,40,0,1,0.0,,0.0,0,0000000000000000,0000000000000000,28478.0,0.0
100,26523800000,41,20,1,3.09,,43.11,0,4008B851EB851EB8,40458E147AE147AE,28420.0,1.7579009999999995
100,26523800000,42,12,1,3.09,,43.46,1,4008B851EB851EB8,4045BAE147AE147B,36148.0,1.747086
100,26523800000,43,10,1,3.09,,43.46,1,4008B851EB851EB8,4045BAE147AE147B,28446.0,1.747086
100,26523800000,44,11,1,3.09,,43.27,1,4008B851EB851EB8,4045A28F5C28F5C3,28232.0,1.7529569999999997
100,26523800000,45,13,1,3.09,,41.97,1,4008B851EB851EB8,4044FC28F5C28F5C,28462.0,1.793127
100,26523800000,46,3,1,3.09,,41.97,1,4008B851EB851EB8,4044FC28F5C28F5C,28675.0,1.793127
100,26523800000,47,4,1,3.09,,41.97,1,4008B851EB851EB8,4044FC28F5C28F5C,28538.0,1.793127
100,26523800000,48,5,1,3.09,,39.42,1,4008B851EB851EB8,4043B5C28F5C28F6,27113.0,1.871922
100,26523800000,49,15,1,3.09,,39.42,1,4008B851EB851EB8,4043B5C28F5C28F6,28576.0,1.871922
100,26523800000,50,10,1,3.09,,39.19,1,4008B851EB851EB8,40439851EB851EB8,29217.0,1.8790290000000005
100,26523800000,51,1,1,3.09,,38.93,1,4008B851EB851EB8,4043770A3D70A3D7,32120.0,1.887063
100,26523800000,52,1,1,3.09,,38.93,1,4008B851EB851EB8,4043770A3D70A3D7,27054.0,1.887063
100,26523800000,53,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,26788.0,0.0
100,26523800000,54,9,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,28743.0,1.849983
100,26523800000,55,7,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,30390.0,1.849983
100,26523800000,56,4,1,3.09,,40.13,1,4008B851EB851EB8,404410A3D70A3D71,28746.0,1.849983
100,26523800000,57,16,1,3.09,,39.22,1,4008B851EB851EB8,40439C28F5C28F5C,28868.0,1.878102
100,26523800000,58,13,1,3.09,,39.13,1,4008B851EB851EB8,404390A3D70A3D71,27267.0,1.880883
100,26523800000,59,5,1,3.09,,39.13,1,4008B851EB851EB8,404390A3D70A3D71,30296.0,1.880883
100,26523800000,60,11,1,3.09,,39.13,1,4008B851EB851EB8,404390A3D70A3D71,26082.0,1.880883
100,26523800000,61,10,1,3.09,,42.91,1,4008B851EB851EB8,4045747AE147AE14,25045.0,1.7640809999999998
100,26523800000,62,10,1,3.09,C,49.09,1,4008B851EB851EB8,40488B851EB851EC,40211.0,1.5731189999999995
100,26523800000,63,4,1,3.09,,49.09,1,4008B851EB851EB8,40488B851EB851EC,24072.0,1.5731189999999995
100,26523800000,64,3,1,3.09,,52.78,1,4008B851EB851EB8,404A63D70A3D70A4,34436.0,1.4590979999999998
100,26523800000,65,5,1,3.09,,52.1,1,4008B851EB851EB8,404A0CCCCCCCCCCD,30344.0,1.4801099999999998
100,26523800000,66,4,1,3.09,,52.1,1,4008B851EB851EB8,404A0CCCCCCCCCCD,31294.0,1.4801099999999998
100,26523800000,67,3,1,3.09,,51.29,1,4008B851EB851EB8,4049A51EB851EB85,35556.0,1.5051389999999998
100,26523800000,68,10,1,3.09,,51.2,1,4008B851EB851EB8,404999999999999A,26688.0,1.50792
100,26523800000,69,7,1,3.09,,51.13,1,4008B851EB851EB8,404990A3D70A3D71,33731.0,1.510083
100,26523800000,70,5,1,3.09,,51.07,1,4008B851EB851EB8,404988F5C28F5C29,26367.0,1.511937
100,26523800000,71,19,1,3.09,,51.07,1,4008B851EB851EB8,404988F5C28F5C29,28787.0,1.511937
100,26523800000,72,7,1,3.09,,51.07,1,4008B851EB851EB8,404988F5C28F5C29,25946.0,1.511937
