STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
100,2800001159,61,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,25045.0,0.0
100,2800001159,62,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,40211.0,0.0
100,2800001159,63,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,24072.0,0.0
100,2800001159,64,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,34436.0,0.0
100,2800001159,65,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,30344.0,0.0
100,2800001159,66,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,31294.0,0.0
100,2800001159,67,0,1,0.0,,0.0,1,0000000000000000,0000000000000000,35556.0,0.0
100,2800001159,68,9,3,1.0,B,26.97,1,3FF0000000000000,403AF851EB851EB8,26688.0,0.2434333333333333
100,2800001159,69,21,1,0.4,,38.75,1,3FD999999999999A,4043600000000000,33731.0,0.245
100,2800001159,70,21,1,0.4,,38.75,1,3FD999999999999A,4043600000000000,26367.0,0.245
100,2800001159,71,15,1,0.4,,38.75,1,3FD999999999999A,4043600000000000,28787.0,0.245
100,2800001159,72,20,1,0.4,,38.75,1,3FD999999999999A,4043600000000000,25946.0,0.245
100,2800001159,73,27,1,0.4,,38.75,1,3FD999999999999A,4043600000000000,38719.0,0.245
100,2800001159,74,35,1,0.4,,38.75,1,3FD999999999999A,4043600000000000,27639.0,0.245
100,2800001159,75,23,1,0.45,,43.56,1,3FDCCCCCCCCCCCCD,4045C7AE147AE148,26972.0,0.25398
100,2800001159,76,37,2,0.79,B,34.87,1,3FE947AE147AE148,40416F5C28F5C28F,27634.0,0.2572635
100,2800001159,77,21,2,0.79,B,35.64,1,3FE947AE147AE148,4041D1EB851EB852,31617.0,0.254222
100,2800001159,78,39,2,0.79,B,35.9,1,3FE947AE147AE148,4041F33333333333,25593.0,0.253195
100,2800001159,79,223,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,35430.0,0.2525333333333333
100,2800001159,80,135,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,29901.0,0.2525333333333333
100,2800001159,81,127,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,31408.0,0.2525333333333333
100,2800001159,82,165,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,27062.0,0.2525333333333333
100,2800001159,83,26,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,27776.0,0.2525333333333333
100,2800001159,84,45,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,29014.0,0.2525333333333333
100,2800001159,85,17,3,1.0,B,24.24,1,3FF0000000000000,40383D70A3D70A3D,27007.0,0.2525333333333333
