STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK,PRICE_HEX,PROFIT_HEX,CUSTOMCOUNT,COSTPRICE
44.0,4400003607,1.0,10.0,1.0,1.99,B,25.98,1.0,3FFFD70A3D70A3D7,4039FAE147AE147B,15124.0,1.472998
44.0,4400003607,2.0,18.0,1.0,1.99,,25.98,1.0,3FFFD70A3D70A3D7,4039FAE147AE147B,15895.0,1.472998
44.0,4400003607,3.0,18.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,15398.0,1.4729679999999998
44.0,4400003607,4.0,12.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,15570.0,1.4729679999999998
44.0,4400003607,5.0,13.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,15611.0,1.4729679999999998
44.0,4400003607,6.0,12.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,15317.0,1.4729679999999998
44.0,4400003607,7.0,20.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,16311.0,1.4729679999999998
44.0,4400003607,8.0,14.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,16239.0,1.4729679999999998
44.0,4400003607,9.0,34.0,1.0,1.91,B,22.88,1.0,3FFE8F5C28F5C28F,4036E147AE147AE1,15230.0,1.472992
44.0,4400003607,10.0,35.0,1.0,1.52,B,3.09,1.0,3FF851EB851EB852,4008B851EB851EB8,19162.0,1.473032
44.0,4400003607,11.0,15.0,1.0,1.52,B,3.09,1.0,3FF851EB851EB852,4008B851EB851EB8,13809.0,1.473032
44.0,4400003607,12.0,15.0,1.0,1.91,B,22.88,1.0,3FFE8F5C28F5C28F,4036E147AE147AE1,15194.0,1.472992
44.0,4400003607,13.0,5120.0,1.0,1.91,B,22.88,0.0,3FFE8F5C28F5C28F,4036E147AE147AE1,15691.0,1.472992
44.0,4400003607,14.0,23.0,1.0,1.91,B,22.88,1.0,3FFE8F5C28F5C28F,4036E147AE147AE1,17459.0,1.472992
44.0,4400003607,15.0,23.0,1.0,1.52,B,3.09,1.0,3FF851EB851EB852,4008B851EB851EB8,15806.0,1.473032
44.0,4400003607,16.0,12.0,1.0,1.91,B,22.88,1.0,3FFE8F5C28F5C28F,4036E147AE147AE1,15136.0,1.472992
44.0,4400003607,17.0,10.0,1.0,2.03,B,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,14823.0,1.4729679999999998
44.0,4400003607,18.0,12.0,1.0,2.03,,27.44,1.0,40003D70A3D70A3D,403B70A3D70A3D71,15148.0,1.4729679999999998
44.0,4400003607,19.0,20.0,1.0,1.91,B,22.88,1.0,3FFE8F5C28F5C28F,4036E147AE147AE1,15657.0,1.472992
44.0,4400003607,20.0,23.0,1.0,2.09,,29.52,1.0,4000B851EB851EB8,403D851EB851EB85,16220.0,1.473032
44.0,4400003607,21.0,14.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,15884.0,1.545973
44.0,4400003607,22.0,18.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,16030.0,1.545973
44.0,4400003607,23.0,16.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,15405.0,1.545973
44.0,4400003607,24.0,17.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,15400.0,1.545973
44.0,4400003607,25.0,21.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,15377.0,1.545973
44.0,4400003607,26.0,16.0,1.0,2.09,,26.03,0.0,4000B851EB851EB8,403A07AE147AE148,15901.0,1.545973
44.0,4400003607,27.0,14.0,1.0,2.09,,26.03,0.0,4000B851EB851EB8,403A07AE147AE148,16808.0,1.545973
44.0,4400003607,28.0,15.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,15869.0,1.545973
44.0,4400003607,29.0,25.0,1.0,2.09,,26.03,0.0,4000B851EB851EB8,403A07AE147AE148,15646.0,1.545973
44.0,4400003607,30.0,9.0,1.0,2.09,,26.03,1.0,4000B851EB851EB8,403A07AE147AE148,18267.0,1.545973
44.0,4400003607,31.0,15.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17467.0,1.5459539999999998
44.0,4400003607,32.0,27.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,15530.0,1.5459539999999998
44.0,4400003607,33.0,33.0,1.0,1.59,,2.77,1.0,3FF970A3D70A3D71,400628F5C28F5C29,16923.0,1.5459570000000002
44.0,4400003607,34.0,16.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16576.0,1.5459539999999998
44.0,4400003607,35.0,13.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,18719.0,1.5459539999999998
44.0,4400003607,36.0,17.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16931.0,1.5459539999999998
44.0,4400003607,37.0,19.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17600.0,1.5459539999999998
44.0,4400003607,38.0,18.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,18194.0,1.5459539999999998
44.0,4400003607,39.0,12.0,1.0,2.13,,27.42,0.0,40010A3D70A3D70A,403B6B851EB851EC,17201.0,1.5459539999999998
44.0,4400003607,40.0,12.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17657.0,1.5459539999999998
44.0,4400003607,41.0,23.0,1.0,2.13,B,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17445.0,1.5459539999999998
44.0,4400003607,42.0,26.0,1.0,1.79,B,13.63,1.0,3FFCA3D70A3D70A4,402B428F5C28F5C3,19324.0,1.546023
44.0,4400003607,43.0,28.0,1.0,1.79,B,13.63,1.0,3FFCA3D70A3D70A4,402B428F5C28F5C3,16993.0,1.546023
44.0,4400003607,44.0,15.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17237.0,1.5459539999999998
44.0,4400003607,45.0,17.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17896.0,1.5459539999999998
44.0,4400003607,46.0,11.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17038.0,1.5459539999999998
44.0,4400003607,47.0,12.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16125.0,1.5459539999999998
44.0,4400003607,48.0,22.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16563.0,1.5459539999999998
44.0,4400003607,49.0,19.0,1.0,2.01,B,23.08,1.0,4000147AE147AE14,4037147AE147AE14,16854.0,1.5460919999999998
44.0,4400003607,50.0,15.0,1.0,2.01,B,23.08,1.0,4000147AE147AE14,4037147AE147AE14,17416.0,1.5460919999999998
44.0,4400003607,51.0,129.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17891.0,1.5459539999999998
44.0,4400003607,52.0,11.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16335.0,1.5459539999999998
44.0,4400003607,53.0,14.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16782.0,1.5459539999999998
44.0,4400003607,54.0,11.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17444.0,1.5459539999999998
44.0,4400003607,55.0,28.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,18204.0,1.5459539999999998
44.0,4400003607,56.0,18.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16879.0,1.5459539999999998
44.0,4400003607,57.0,11.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16432.0,1.5459539999999998
44.0,4400003607,58.0,10.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17067.0,1.5459539999999998
44.0,4400003607,59.0,9.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,17871.0,1.5459539999999998
44.0,4400003607,60.0,15.0,1.0,2.13,,27.42,1.0,40010A3D70A3D70A,403B6B851EB851EC,16530.0,1.5459539999999998
44.0,4400003607,61.0,28.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,16022.0,1.546012
44.0,4400003607,62.0,45.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,21841.0,1.546012
44.0,4400003607,63.0,15.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,15073.0,1.546012
44.0,4400003607,64.0,13.0,1.0,1.69,B,8.52,0.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,18324.0,1.546012
44.0,4400003607,65.0,21.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,17511.0,1.546012
44.0,4400003607,66.0,11.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,18947.0,1.546012
44.0,4400003607,67.0,19.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,18109.0,1.546012
44.0,4400003607,68.0,16.0,1.0,1.69,S,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,16013.0,1.546012
44.0,4400003607,69.0,0.0,1.0,0.0,,0.0,0.0,0000000000000000,0000000000000000,17133.0,0.0
44.0,4400003607,70.0,17.0,1.0,1.69,B,8.52,0.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,16067.0,1.546012
44.0,4400003607,71.0,16.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,15570.0,1.546012
44.0,4400003607,72.0,24.0,1.0,1.69,B,8.52,1.0,3FFB0A3D70A3D70A,40210A3D70A3D70A,16026.0,1.546012
44.0,4400003607,73.0,15.0,1.0,2.13,,20.42,1.0,40010A3D70A3D70A,40346B851EB851EC,17530.0,1.6950539999999998
44.0,4400003607,74.0,20.0,1.0,2.13,,20.42,1.0,40010A3D70A3D70A,40346B851EB851EC,16284.0,1.6950539999999998
44.0,4400003607,75.0,12.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,16061.0,1.695058
44.0,4400003607,76.0,20.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,15920.0,1.695058
44.0,4400003607,77.0,15.0,1.0,2.17,B,21.89,1.0,40015C28F5C28F5C,4035E3D70A3D70A4,17123.0,1.694987
44.0,4400003607,78.0,20.0,1.0,2.17,B,21.89,1.0,40015C28F5C28F5C,4035E3D70A3D70A4,15469.0,1.694987
44.0,4400003607,79.0,31.0,1.0,1.99,B,14.82,1.0,3FFFD70A3D70A3D7,402DA3D70A3D70A4,18540.0,1.695082
44.0,4400003607,80.0,26.0,1.0,1.99,B,14.82,1.0,3FFFD70A3D70A3D7,402DA3D70A3D70A4,16811.0,1.695082
44.0,4400003607,81.0,35.0,1.0,1.79,S,5.31,1.0,3FFCA3D70A3D70A4,40153D70A3D70A3D,17988.0,1.694951
44.0,4400003607,82.0,10.0,1.0,2.29,B,25.98,1.0,400251EB851EB852,4039FAE147AE147B,16386.0,1.695058
44.0,4400003607,83.0,11.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17203.0,1.695058
44.0,4400003607,84.0,18.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17382.0,1.695058
44.0,4400003607,85.0,17.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17254.0,1.695058
44.0,4400003607,86.0,20.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18743.0,1.695058
44.0,4400003607,87.0,12.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18540.0,1.695058
44.0,4400003607,88.0,11.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17458.0,1.695058
44.0,4400003607,89.0,15.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18570.0,1.695058
44.0,4400003607,90.0,10.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,19453.0,1.695058
44.0,4400003607,91.0,10.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18179.0,1.695058
44.0,4400003607,92.0,14.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17930.0,1.695058
44.0,4400003607,93.0,11.0,1.0,2.17,B,21.89,1.0,40015C28F5C28F5C,4035E3D70A3D70A4,17705.0,1.694987
44.0,4400003607,94.0,19.0,1.0,1.89,B,10.32,1.0,3FFE3D70A3D70A3D,4024A3D70A3D70A4,18907.0,1.694952
44.0,4400003607,95.0,20.0,1.0,1.89,B,10.32,1.0,3FFE3D70A3D70A3D,4024A3D70A3D70A4,17169.0,1.694952
44.0,4400003607,96.0,10.0,1.0,1.89,B,10.32,1.0,3FFE3D70A3D70A3D,4024A3D70A3D70A4,18047.0,1.694952
44.0,4400003607,97.0,15.0,1.0,1.89,B,10.32,1.0,3FFE3D70A3D70A3D,4024A3D70A3D70A4,17441.0,1.694952
44.0,4400003607,98.0,19.0,1.0,1.89,,10.32,1.0,3FFE3D70A3D70A3D,4024A3D70A3D70A4,18178.0,1.694952
44.0,4400003607,99.0,14.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17530.0,1.695058
44.0,4400003607,100.0,17.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17020.0,1.695058
44.0,4400003607,101.0,13.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,16971.0,1.695058
44.0,4400003607,102.0,20.0,1.0,1.79,B,5.31,1.0,3FFCA3D70A3D70A4,40153D70A3D70A3D,17661.0,1.694951
44.0,4400003607,103.0,28.0,1.0,1.69,B,0.3,1.0,3FFB0A3D70A3D70A,3FD3333333333333,18031.0,1.68493
44.0,4400003607,104.0,10.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18365.0,1.695058
44.0,4400003607,105.0,16.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18199.0,1.695058
44.0,4400003607,106.0,12.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18542.0,1.695058
44.0,4400003607,107.0,7.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17035.0,1.695058
44.0,4400003607,108.0,12.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17999.0,1.695058
44.0,4400003607,109.0,9.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17418.0,1.695058
44.0,4400003607,110.0,11.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,19575.0,1.695058
44.0,4400003607,111.0,13.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,19621.0,1.695058
44.0,4400003607,112.0,8.0,1.0,1.85,,8.37,1.0,3FFD99999999999A,4020BD70A3D70A3D,16734.0,1.6951550000000002
44.0,4400003607,113.0,17.0,1.0,1.59,B,0.37,1.0,3FF970A3D70A3D71,3FD7AE147AE147AE,17274.0,1.584117
44.0,4400003607,114.0,21.0,1.0,1.59,B,2.07,1.0,3FF970A3D70A3D71,40008F5C28F5C28F,18300.0,1.557087
44.0,4400003607,115.0,43.0,1.0,1.5,S,7.0,1.0,3FF8000000000000,401C000000000000,21094.0,1.395
44.0,4400003607,116.0,10.0,1.0,1.87,,25.4,1.0,3FFDEB851EB851EC,4039666666666666,15191.0,1.39502
44.0,4400003607,117.0,10.0,1.0,1.99,,29.89,1.0,3FFFD70A3D70A3D7,403DE3D70A3D70A4,17628.0,1.395189
44.0,4400003607,118.0,12.0,1.0,1.69,B,17.45,1.0,3FFB0A3D70A3D70A,4031733333333333,18027.0,1.395095
44.0,4400003607,119.0,34.0,1.0,1.69,B,17.45,1.0,3FFB0A3D70A3D70A,4031733333333333,18560.0,1.395095
44.0,4400003607,120.0,18.0,1.0,2.12,B,34.19,1.0,4000F5C28F5C28F6,40411851EB851EB8,16844.0,1.395172
44.0,4400003607,121.0,6.0,1.0,2.29,,39.08,1.0,400251EB851EB852,40438A3D70A3D70A,17655.0,1.395068
44.0,4400003607,122.0,8.0,1.0,2.29,,29.25,1.0,400251EB851EB852,403D400000000000,16614.0,1.620175
44.0,4400003607,123.0,7.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17449.0,1.695058
44.0,4400003607,124.0,5.0,1.0,2.14,,25.28,1.0,40011EB851EB851F,403947AE147AE148,17616.0,1.599008
44.0,4400003607,125.0,16.0,1.0,2.05,B,23.17,1.0,4000666666666666,40372B851EB851EC,16445.0,1.5750149999999998
44.0,4400003607,126.0,13.0,1.0,2.05,B,23.17,1.0,4000666666666666,40372B851EB851EC,16790.0,1.5750149999999998
44.0,4400003607,127.0,29.0,1.0,1.99,B,20.85,1.0,3FFFD70A3D70A3D7,4034D9999999999A,18147.0,1.5750849999999998
44.0,4400003607,128.0,19.0,1.0,1.99,B,20.85,1.0,3FFFD70A3D70A3D7,4034D9999999999A,16551.0,1.5750849999999998
44.0,4400003607,129.0,22.0,1.0,2.18,,27.75,1.0,400170A3D70A3D71,403BC00000000000,16909.0,1.5750499999999998
44.0,4400003607,130.0,14.0,1.0,2.05,B,23.17,1.0,4000666666666666,40372B851EB851EC,18153.0,1.5750149999999998
44.0,4400003607,131.0,25.0,1.0,1.99,B,20.85,1.0,3FFFD70A3D70A3D7,4034D9999999999A,17817.0,1.5750849999999998
44.0,4400003607,132.0,18.0,1.0,2.15,B,26.74,1.0,4001333333333333,403ABD70A3D70A3D,16972.0,1.57509
44.0,4400003607,133.0,7.0,1.0,2.29,,28.25,1.0,400251EB851EB852,403C400000000000,17475.0,1.643075
44.0,4400003607,134.0,6.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,16492.0,1.695058
44.0,4400003607,135.0,9.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18623.0,1.695058
44.0,4400003607,136.0,8.0,1.0,2.29,,27.94,1.0,400251EB851EB852,403BF0A3D70A3D71,18888.0,1.6501739999999998
44.0,4400003607,137.0,10.0,1.0,2.29,,31.22,1.0,400251EB851EB852,403F3851EB851EB8,16832.0,1.575062
44.0,4400003607,138.0,26.0,1.0,1.74,,9.48,1.0,3FFBD70A3D70A3D7,4022F5C28F5C28F6,17310.0,1.575048
44.0,4400003607,139.0,34.0,1.0,1.5,B,5.0,1.0,3FF8000000000000,4014000000000000,18839.0,1.4249999999999998
44.0,4400003607,140.0,19.0,1.0,1.66,B,5.12,1.0,3FFA8F5C28F5C28F,40147AE147AE147B,20486.0,1.575008
44.0,4400003607,141.0,108.0,1.0,1.14,S,38.15,1.0,3FF23D70A3D70A3D,4043133333333333,18709.0,0.70509
44.0,4400003607,142.0,11.0,1.0,2.29,,29.34,1.0,400251EB851EB852,403D570A3D70A3D7,20045.0,1.618114
44.0,4400003607,143.0,12.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18419.0,1.695058
44.0,4400003607,144.0,5.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17657.0,1.695058
44.0,4400003607,145.0,11.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18538.0,1.695058
44.0,4400003607,146.0,14.0,1.0,2.14,,37.61,1.0,40011EB851EB851F,4042CE147AE147AE,18086.0,1.3351460000000002
44.0,4400003607,147.0,41.0,1.0,1.99,B,32.91,1.0,3FFFD70A3D70A3D7,4040747AE147AE14,20896.0,1.335091
44.0,4400003607,148.0,10.0,1.0,2.11,B,36.72,1.0,4000E147AE147AE1,40425C28F5C28F5C,18001.0,1.335208
44.0,4400003607,149.0,10.0,1.0,2.29,,35.41,1.0,400251EB851EB852,4041B47AE147AE14,17404.0,1.479111
44.0,4400003607,150.0,8.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18053.0,1.695058
44.0,4400003607,151.0,7.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,16498.0,1.695058
44.0,4400003607,152.0,11.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,16803.0,1.695058
44.0,4400003607,153.0,5.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17676.0,1.695058
44.0,4400003607,154.0,3.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17178.0,1.695058
44.0,4400003607,155.0,8.0,1.0,2.13,,26.05,1.0,40010A3D70A3D70A,403A0CCCCCCCCCCD,17809.0,1.575135
44.0,4400003607,156.0,12.0,1.0,1.66,B,5.12,1.0,3FFA8F5C28F5C28F,40147AE147AE147B,16544.0,1.575008
44.0,4400003607,157.0,4.0,1.0,2.29,,31.22,1.0,400251EB851EB852,403F3851EB851EB8,17023.0,1.575062
44.0,4400003607,158.0,6.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17400.0,1.695058
44.0,4400003607,159.0,9.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18367.0,1.695058
44.0,4400003607,160.0,3.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18309.0,1.695058
44.0,4400003607,161.0,2.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17315.0,1.695058
44.0,4400003607,162.0,6.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18358.0,1.695058
44.0,4400003607,163.0,7.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,18446.0,1.695058
44.0,4400003607,164.0,7.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,17558.0,1.695058
44.0,4400003607,165.0,5.0,1.0,2.29,,25.98,1.0,400251EB851EB852,4039FAE147AE147B,19694.0,1.695058
44.0,4400003607,166.0,7.0,1.0,2.29,,30.48,1.0,400251EB851EB852,403E7AE147AE147B,16761.0,1.592008
44.0,4400003607,167.0,18.0,1.0,1.52,S,3.61,1.0,3FF851EB851EB852,400CE147AE147AE1,19826.0,1.465128
44.0,4400003607,168.0,15.0,1.0,1.58,S,0.31,1.0,3FF947AE147AE148,3FD3D70A3D70A3D7,15023.0,1.575102
44.0,4400003607,169.0,19.0,1.0,1.59,B,0.94,1.0,3FF970A3D70A3D71,3FEE147AE147AE14,16698.0,1.5750540000000002
44.0,4400003607,170.0,10.0,1.0,1.59,B,0.94,1.0,3FF970A3D70A3D71,3FEE147AE147AE14,17541.0,1.5750540000000002
44.0,4400003607,171.0,14.0,1.0,1.52,B,3.61,1.0,3FF851EB851EB852,400CE147AE147AE1,20233.0,1.465128
44.0,4400003607,172.0,2.0,1.0,2.29,,31.22,1.0,400251EB851EB852,403F3851EB851EB8,15011.0,1.575062
44.0,4400003607,173.0,2.0,1.0,2.29,,31.22,1.0,400251EB851EB852,403F3851EB851EB8,16139.0,1.575062
44.0,4400003607,174.0,3.0,1.0,2.29,,27.72,1.0,400251EB851EB852,403BB851EB851EB8,16629.0,1.655212
44.0,4400003607,175.0,6.0,1.0,2.29,,28.6,1.0,400251EB851EB852,403C99999999999A,16142.0,1.63506
44.0,4400003607,176.0,4.0,1.0,2.29,,31.22,1.0,400251EB851EB852,403F3851EB851EB8,16783.0,1.575062
44.0,4400003607,177.0,20.0,1.0,1.66,S,5.12,1.0,3FFA8F5C28F5C28F,40147AE147AE147B,16410.0,1.575008
44.0,4400003607,178.0,8.0,1.0,2.29,,31.22,1.0,400251EB851EB852,403F3851EB851EB8,16515.0,1.575062
44.0,4400003607,179.0,11.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,16871.0,1.7681220000000002
44.0,4400003607,180.0,15.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,15428.0,1.7681220000000002
44.0,4400003607,181.0,13.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,17011.0,1.7681220000000002
44.0,4400003607,182.0,7.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,16851.0,1.7681220000000002
44.0,4400003607,183.0,12.0,1.0,2.39,,27.28,1.0,40031EB851EB851F,403B47AE147AE148,15557.0,1.7380080000000002
44.0,4400003607,184.0,5.0,1.0,2.39,,31.04,1.0,40031EB851EB851F,403F0A3D70A3D70A,16668.0,1.648144
44.0,4400003607,185.0,17.0,1.0,1.99,S,17.18,1.0,3FFFD70A3D70A3D7,40312E147AE147AE,16094.0,1.6481180000000002
44.0,4400003607,186.0,10.0,1.0,2.39,,31.04,1.0,40031EB851EB851F,403F0A3D70A3D70A,16895.0,1.648144
44.0,4400003607,187.0,10.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,17654.0,1.7681220000000002
44.0,4400003607,188.0,8.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,16461.0,1.7681220000000002
44.0,4400003607,189.0,12.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,17844.0,1.7681220000000002
44.0,4400003607,190.0,16.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,17498.0,1.7681220000000002
44.0,4400003607,191.0,12.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,17889.0,1.7681220000000002
44.0,4400003607,192.0,11.0,1.0,2.39,,26.02,1.0,40031EB851EB851F,403A051EB851EB85,17535.0,1.7681220000000002
44.0,4400003607,193.0,7.0,1.0,2.39,,31.04,1.0,40031EB851EB851F,403F0A3D70A3D70A,18413.0,1.648144
44.0,4400003607,194.0,9.0,1.0,2.39,,31.04,1.0,40031EB851EB851F,403F0A3D70A3D70A,18322.0,1.648144
44.0,4400003607,195.0,21.0,1.0,1.99,S,17.18,1.0,3FFFD70A3D70A3D7,40312E147AE147AE,17814.0,1.6481180000000002
44.0,4400003607,196.0,11.0,1.0,2.39,,31.04,1.0,40031EB851EB851F,403F0A3D70A3D70A,17981.0,1.648144
44.0,4400003607,197.0,5.0,1.0,2.31,,24.5,1.0,40027AE147AE147B,4038800000000000,18457.0,1.74405
